,T_max,m,n,number of guesses,parameter,time estimation,time_burn_in,true value,value,weight function
180,8400.0,0,0,50,nu,574.2857142857142,100,0.12026890756302523,0.12180025514251218,Adaptive Biweight with first width 1680.0
181,8400.0,0,0,50,alpha,574.2857142857142,100,1.2270252100840335,1.2422946957967949,Adaptive Biweight with first width 1680.0
182,8400.0,0,0,50,beta,574.2857142857142,100,2.0,1.892916586402598,Adaptive Biweight with first width 1680.0
183,8400.0,0,0,50,nu,574.2857142857142,100,0.12026890756302523,0.10075906236299426,Adaptive Biweight with first width 1680.0
184,8400.0,0,0,50,alpha,574.2857142857142,100,1.2270252100840335,1.0818762135791409,Adaptive Biweight with first width 1680.0
185,8400.0,0,0,50,beta,574.2857142857142,100,2.0,1.5660323259782345,Adaptive Biweight with first width 1680.0
186,8400.0,0,0,50,nu,574.2857142857142,100,0.12026890756302523,0.09915663530061616,Adaptive Biweight with first width 1680.0
187,8400.0,0,0,50,alpha,574.2857142857142,100,1.2270252100840335,1.5001169284965308,Adaptive Biweight with first width 1680.0
188,8400.0,0,0,50,beta,574.2857142857142,100,2.0,2.366824527731516,Adaptive Biweight with first width 1680.0
189,8400.0,0,0,50,nu,574.2857142857142,100,0.12026890756302523,0.09863323895756801,Adaptive Biweight with first width 1680.0
190,8400.0,0,0,50,alpha,574.2857142857142,100,1.2270252100840335,0.8872323458290327,Adaptive Biweight with first width 1680.0
191,8400.0,0,0,50,beta,574.2857142857142,100,2.0,1.6524194755776214,Adaptive Biweight with first width 1680.0
192,8400.0,0,0,50,nu,574.2857142857142,100,0.12026890756302523,0.08635198234590352,Adaptive Biweight with first width 1680.0
193,8400.0,0,0,50,alpha,574.2857142857142,100,1.2270252100840335,1.155401737361104,Adaptive Biweight with first width 1680.0
194,8400.0,0,0,50,beta,574.2857142857142,100,2.0,1.9298260496728827,Adaptive Biweight with first width 1680.0
195,8400.0,0,0,50,nu,574.2857142857142,100,0.12026890756302523,0.1390828842838702,Adaptive Biweight with first width 1680.0
196,8400.0,0,0,50,alpha,574.2857142857142,100,1.2270252100840335,1.8437588844937416,Adaptive Biweight with first width 1680.0
197,8400.0,0,0,50,beta,574.2857142857142,100,2.0,2.5749149545827064,Adaptive Biweight with first width 1680.0
198,8400.0,0,0,50,nu,574.2857142857142,100,0.12026890756302523,0.1129231865265572,Adaptive Biweight with first width 1680.0
199,8400.0,0,0,50,alpha,574.2857142857142,100,1.2270252100840335,0.9343585096305672,Adaptive Biweight with first width 1680.0
200,8400.0,0,0,50,beta,574.2857142857142,100,2.0,1.7462189498237772,Adaptive Biweight with first width 1680.0
201,8400.0,0,0,50,nu,574.2857142857142,100,0.12026890756302523,0.11762786864205023,Adaptive Biweight with first width 1680.0
202,8400.0,0,0,50,alpha,574.2857142857142,100,1.2270252100840335,1.0183299790269358,Adaptive Biweight with first width 1680.0
203,8400.0,0,0,50,beta,574.2857142857142,100,2.0,1.8445664879582169,Adaptive Biweight with first width 1680.0
204,8400.0,0,0,50,nu,574.2857142857142,100,0.12026890756302523,0.17964111519914192,Adaptive Biweight with first width 1680.0
205,8400.0,0,0,50,alpha,574.2857142857142,100,1.2270252100840335,1.298541897796358,Adaptive Biweight with first width 1680.0
206,8400.0,0,0,50,beta,574.2857142857142,100,2.0,2.3954594882686377,Adaptive Biweight with first width 1680.0
207,8400.0,0,0,50,nu,574.2857142857142,100,0.12026890756302523,0.13722136788785913,Adaptive Biweight with first width 1680.0
208,8400.0,0,0,50,alpha,574.2857142857142,100,1.2270252100840335,1.0264086287435887,Adaptive Biweight with first width 1680.0
209,8400.0,0,0,50,beta,574.2857142857142,100,2.0,1.8334329519616281,Adaptive Biweight with first width 1680.0
210,8400.0,0,0,50,nu,574.2857142857142,100,0.12026890756302523,0.11777919859774907,Adaptive Biweight with first width 1680.0
211,8400.0,0,0,50,alpha,574.2857142857142,100,1.2270252100840335,1.1490563083923258,Adaptive Biweight with first width 1680.0
212,8400.0,0,0,50,beta,574.2857142857142,100,2.0,2.2428601591782207,Adaptive Biweight with first width 1680.0
213,8400.0,0,0,50,nu,574.2857142857142,100,0.12026890756302523,0.10362788433692734,Adaptive Biweight with first width 1680.0
214,8400.0,0,0,50,alpha,574.2857142857142,100,1.2270252100840335,1.047712770789764,Adaptive Biweight with first width 1680.0
215,8400.0,0,0,50,beta,574.2857142857142,100,2.0,1.7447375873620397,Adaptive Biweight with first width 1680.0
216,8400.0,0,0,50,nu,574.2857142857142,100,0.12026890756302523,0.107018795738415,Adaptive Biweight with first width 1680.0
217,8400.0,0,0,50,alpha,574.2857142857142,100,1.2270252100840335,0.9851760144381884,Adaptive Biweight with first width 1680.0
218,8400.0,0,0,50,beta,574.2857142857142,100,2.0,1.6466103985340448,Adaptive Biweight with first width 1680.0
219,8400.0,0,0,50,nu,574.2857142857142,100,0.12026890756302523,0.1200762735626454,Adaptive Biweight with first width 1680.0
220,8400.0,0,0,50,alpha,574.2857142857142,100,1.2270252100840335,0.8470444980513828,Adaptive Biweight with first width 1680.0
221,8400.0,0,0,50,beta,574.2857142857142,100,2.0,1.653323609248356,Adaptive Biweight with first width 1680.0
222,8400.0,0,0,50,nu,574.2857142857142,100,0.12026890756302523,0.10211761452389116,Adaptive Biweight with first width 1680.0
223,8400.0,0,0,50,alpha,574.2857142857142,100,1.2270252100840335,0.8660218468969686,Adaptive Biweight with first width 1680.0
224,8400.0,0,0,50,beta,574.2857142857142,100,2.0,1.5706337916267628,Adaptive Biweight with first width 1680.0
225,8400.0,0,0,50,nu,574.2857142857142,100,0.12026890756302523,0.12553658279012447,Adaptive Biweight with first width 1680.0
226,8400.0,0,0,50,alpha,574.2857142857142,100,1.2270252100840335,1.4533754641807088,Adaptive Biweight with first width 1680.0
227,8400.0,0,0,50,beta,574.2857142857142,100,2.0,2.239932808223124,Adaptive Biweight with first width 1680.0
228,8400.0,0,0,50,nu,574.2857142857142,100,0.12026890756302523,0.1165364906621811,Adaptive Biweight with first width 1680.0
229,8400.0,0,0,50,alpha,574.2857142857142,100,1.2270252100840335,1.2285982154357304,Adaptive Biweight with first width 1680.0
230,8400.0,0,0,50,beta,574.2857142857142,100,2.0,2.0431168770270247,Adaptive Biweight with first width 1680.0
231,8400.0,0,0,50,nu,574.2857142857142,100,0.12026890756302523,0.10548165213668913,Adaptive Biweight with first width 1680.0
232,8400.0,0,0,50,alpha,574.2857142857142,100,1.2270252100840335,1.4020722432489658,Adaptive Biweight with first width 1680.0
233,8400.0,0,0,50,beta,574.2857142857142,100,2.0,2.080667573954606,Adaptive Biweight with first width 1680.0
234,8400.0,0,0,50,nu,574.2857142857142,100,0.12026890756302523,0.14158020684115746,Adaptive Biweight with first width 1680.0
235,8400.0,0,0,50,alpha,574.2857142857142,100,1.2270252100840335,1.07153800746798,Adaptive Biweight with first width 1680.0
236,8400.0,0,0,50,beta,574.2857142857142,100,2.0,1.6066530563458798,Adaptive Biweight with first width 1680.0
